,type,date_open,date_close,x_name,y_name,x_type,y_type,y_openprice,y_closeprice,x_openprice,x_closeprice,x_volume,y_volume,profit,status,s_spread,l_spread,tp_short,tp_long,tp_return,s_return,s_number,period,count,days,min_count
0,long_spread,2019-01-17 14:55:00,2019-01-21 13:45:00,BBDC3,BBDC4,sell,buy,26.32,26.16,23.39,23.2,2000.0,1800.0,92.00000000000233,close,0,0,0,0,1801,-97,40,138,148,10,148
1,short_spread,2019-01-18 12:20:00,2019-01-23 16:25:00,CIEL3,ITSA4,buy,sell,11.18,11.14,9.62,9.44,2000.0,1800.0,-288.00000000000097,close,1,-5,-1,0,1723,-14,25,105,291,,291
2,short_spread,2019-01-17 13:20:00,2019-01-18 12:45:00,BBDC4,BBDC3,buy,sell,23.39,23.75,26.27,26.74,1800.0,2000.0,125.99999999999909,close,2,-4,-1,0,1832,-125,33,36,73,10,73
3,short_spread,2019-01-21 11:05:00,2019-01-22 10:30:00,BBDC4,BBDC3,buy,sell,23.27,23.32,26.24,26.26,1800.0,2000.0,-63.999999999995794,close,2,-4,-1,0,1832,-125,33,36,73,10,73
4,short_spread,2019-01-22 16:10:00,2019-01-23 15:25:00,BBDC4,BBDC3,buy,sell,23.02,23.45,26.01,26.39,1800.0,2000.0,-176.00000000000125,close,2,-4,-1,0,1832,-125,33,36,73,10,73
5,short_spread,2019-01-21 13:05:00,2019-01-22 14:35:00,BBDC4,BBDC3,buy,sell,23.26,23.25,26.25,26.28,1800.0,2000.0,74.00000000000517,close,1,-3,-1,1,1028,-146,47,62,89,10,89
6,long_spread,2019-01-22 15:35:00,2019-01-23 16:20:00,BBDC4,BBDC3,sell,buy,23.23,23.43,26.22,26.34,1800.0,2000.0,183.9999999999968,close,1,-3,-1,1,1028,-146,47,62,89,10,89
7,long_spread,2019-01-22 14:30:00,2019-01-29 11:10:00,BBDC4,BBDC3,sell,buy,23.25,24.59,26.29,27.29,1800.0,2000.0,879.9999999999995,close,2,-3,0,0,2264,-9,39,41,284,10,284
8,short_spread,2019-01-23 14:05:00,2019-01-30 10:25:00,BBDC4,BBDC3,buy,sell,23.45,24.1,26.37,27.0,1800.0,2000.0,-166.00000000000614,close,2,-3,0,0,1746,-105,34,35,281,,281
9,short_spread,2019-01-24 12:30:00,2019-01-28 13:45:00,BBDC4,ITSA4,buy,sell,11.3,11.43,26.7,27.1,800.0,2000.0,60.000000000003695,close,0,-2,0,1,1035,-100,50,28,92,10,92
10,short_spread,2019-01-28 14:15:00,2019-01-29 15:05:00,BBDC4,ITSA4,buy,sell,11.45,11.46,27.1,26.94,800.0,2000.0,-148.00000000000324,close,0,-2,0,1,1035,-100,50,28,92,10,92
11,short_spread,2019-01-29 15:15:00,2019-01-31 10:20:00,BBDC4,ITSA4,buy,sell,11.49,11.6,26.99,27.66,800.0,2000.0,316.0000000000025,close,0,-2,0,1,1035,-100,50,28,92,10,92
12,long_spread,2019-01-28 15:20:00,2019-01-30 12:20:00,BBDC4,BBDC3,sell,buy,24.25,23.9,27.0,26.81,1800.0,2000.0,-358.00000000000057,close,4,-3,-1,1,2711,-290,27,19,119,,119
13,long_spread,2019-01-29 12:20:00,2019-02-01 14:10:00,BBDC4,BBDC3,sell,buy,24.6,24.77,27.35,27.78,1800.0,2000.0,-434.00000000000324,close,2,0,-1,0,2835,-134,33,26,265,,265
14,long_spread,2019-02-05 15:35:00,2019-02-07 11:05:00,BBDC3,BBDC4,sell,buy,28.39,27.33,25.41,24.35,2000.0,1800.0,211.99999999999318,close,5,-2,0,0,1515,-39,50,145,106,10,106
15,long_spread,2019-02-04 14:15:00,2019-02-08 11:00:00,BBDC3,BBDC4,sell,buy,28.02,27.95,25.0,24.88,2000.0,1800.0,114.00000000000148,close,2,-3,0,0,1746,-105,34,35,281,10,281
16,short_spread,2019-02-07 14:20:00,2019-02-12 16:35:00,BBDC3,BBDC4,buy,sell,27.66,28.48,24.58,25.43,2000.0,1800.0,224.00000000000227,close,2,-3,0,0,2186,-61,40,36,271,10,271
17,long_spread,2019-02-11 10:45:00,2019-02-13 13:05:00,ITSA4,CIEL3,sell,buy,9.96,10.4,11.29,11.34,1800.0,2000.0,789.9999999999977,close,5,-1,-1,1,1952,-299,47,112,172,10,172
18,short_spread,2019-02-08 12:15:00,2019-02-13 11:45:00,BBDC3,BBDC4,buy,sell,28.06,28.14,24.96,25.09,2000.0,1800.0,115.99999999999469,close,2,-2,0,0,1329,-80,38,47,233,10,233
19,short_spread,2019-02-08 13:25:00,2019-02-12 11:05:00,BBDC3,BBDC4,buy,sell,27.87,28.14,24.75,25.04,2000.0,1800.0,93.99999999999909,close,1,-2,0,0,1566,-102,34,39,135,10,135
20,short_spread,2019-02-12 12:15:00,2019-02-13 16:45:00,BBDC3,BBDC4,buy,sell,28.24,28.21,25.12,25.1,2000.0,1800.0,13.999999999996504,close,1,-2,0,0,1566,-102,34,39,135,10,135
21,long_spread,2019-02-11 12:50:00,2019-02-13 13:15:00,BBDC4,BBDC3,sell,buy,24.69,25.17,27.56,28.18,1800.0,2000.0,-156.0000000000009,close,1,0,0,1,1328,-201,33,32,166,10,166
22,short_spread,2019-02-13 13:20:00,2019-02-15 13:35:00,BBDC4,BBDC3,buy,sell,25.18,25.41,28.18,28.54,1800.0,2000.0,187.99999999999812,close,1,0,0,1,1328,-201,33,32,166,10,166
23,long_spread,2019-02-13 11:25:00,2019-02-15 12:15:00,ITSA4,CIEL3,sell,buy,10.26,10.18,11.37,11.31,1800.0,2000.0,-52.000000000002444,close,5,0,-1,1,860,-46,47,96,129,,129
24,short_spread,2019-02-12 16:35:00,2019-02-18 12:20:00,BBDC4,BBDC3,buy,sell,25.47,25.1,28.54,28.33,1800.0,2000.0,361.99999999999335,close,2,-3,0,0,1715,-110,48,57,274,10,274
25,long_spread,2019-02-13 16:00:00,2019-02-19 16:30:00,ITSA4,CIEL3,sell,buy,10.28,9.98,11.28,11.42,1800.0,2000.0,-851.9999999999989,close,3,0,0,1,1215,-20,29,40,291,,291
26,short_spread,2019-02-13 15:25:00,2019-02-14 16:35:00,SANB11,BBSE3,buy,sell,23.09,22.91,43.13,42.82,1000.0,2000.0,49.99999999999716,close,2,-3,0,1,943,-110,35,42,96,10,96
27,long_spread,2019-02-15 13:30:00,2019-02-18 14:45:00,SANB11,BBSE3,sell,buy,22.96,22.93,43.3,42.48,1000.0,2000.0,759.999999999998,close,2,-3,0,1,943,-110,35,42,96,10,96
28,short_spread,2019-02-18 14:50:00,2019-02-19 16:05:00,SANB11,BBSE3,buy,sell,22.96,23.33,42.5,43.95,1000.0,2000.0,710.0000000000078,close,2,-3,0,1,943,-110,35,42,96,10,96
29,long_spread,2019-02-14 13:05:00,2019-02-19 16:30:00,BBDC3,BBDC4,sell,buy,27.71,28.34,24.75,25.26,2000.0,1800.0,113.999999999995,close,2,-2,0,0,1572,-91,36,38,281,10,281
30,long_spread,2019-02-15 13:25:00,2019-02-20 12:55:00,ITSA4,CIEL3,sell,buy,10.14,10.21,11.24,11.54,1800.0,2000.0,-399.9999999999975,close,5,-1,-1,1,834,-32,46,77,237,,237
31,short_spread,2019-02-15 15:40:00,2019-02-19 12:50:00,SANB11,MULT3,buy,sell,24.83,24.48,43.28,43.68,1200.0,2000.0,1179.999999999994,close,0,-4,-1,1,814,-166,44,147,103,10,103
32,short_spread,2019-02-19 13:05:00,2019-02-20 14:50:00,SANB11,MULT3,buy,sell,24.48,24.2,43.7,43.5,1200.0,2000.0,319.99999999999886,close,0,-4,-1,1,814,-166,44,147,103,10,103
33,short_spread,2019-02-14 14:30:00,2019-02-15 14:30:00,BBDC3,BBDC4,buy,sell,27.75,28.62,24.78,25.45,2000.0,1800.0,-226.00000000000546,close,2,-3,0,0,2953,-234,33,36,70,,70
34,short_spread,2019-02-15 16:40:00,2019-02-18 15:40:00,BBDC3,BBDC4,buy,sell,28.66,28.29,25.5,25.04,2000.0,1800.0,-253.9999999999999,close,2,-3,0,0,2953,-234,33,36,70,,70
35,long_spread,2019-02-18 11:25:00,2019-02-20 14:30:00,ITSA4,CIEL3,sell,buy,9.99,10.28,11.23,11.52,1800.0,2000.0,57.999999999999886,close,5,0,-1,1,860,-46,47,96,129,10,129
36,short_spread,2019-02-15 11:30:00,2019-02-20 14:45:00,BBDC3,BBDC4,buy,sell,28.63,28.23,25.5,25.33,2000.0,1800.0,379.9999999999941,close,0,-2,0,0,2228,-96,33,16,282,10,282
37,long_spread,2019-02-19 13:30:00,2019-02-25 10:45:00,ITSA4,CIEL3,sell,buy,10.05,10.58,11.51,11.67,1800.0,2000.0,771.9999999999984,close,3,0,0,1,1215,-20,29,40,291,10,291
38,long_spread,2019-02-19 14:35:00,2019-02-25 11:00:00,BBDC3,BBDC4,sell,buy,28.43,27.86,25.32,25.03,2000.0,1800.0,-446.00000000000216,close,2,-2,0,0,1572,-91,36,38,281,,281
39,short_spread,2019-02-21 10:55:00,2019-02-21 16:15:00,ITSA4,CIEL3,buy,sell,10.12,9.99,11.46,11.5,1800.0,2000.0,331.9999999999965,close,2,0,-1,1,1805,-9,45,90,65,10,65
40,long_spread,2019-02-21 16:25:00,2019-02-22 15:25:00,ITSA4,CIEL3,sell,buy,10.0,10.36,11.51,11.58,1800.0,2000.0,593.9999999999984,close,2,0,-1,1,1805,-9,45,90,65,10,65
41,long_spread,2019-02-25 15:50:00,2019-02-26 14:30:00,ITSA4,CIEL3,sell,buy,10.27,10.56,11.58,11.67,1800.0,2000.0,418.00000000000205,close,2,0,-1,1,1805,-9,45,90,65,10,65
42,long_spread,2019-02-20 13:30:00,2019-02-26 10:50:00,SANB11,B3SA3,sell,buy,9.93,10.22,43.7,42.16,400.0,2000.0,1196.0000000000043,close,3,0,0,1,1215,-20,29,40,291,10,291
